2025/02/05,13:26:32,Pantalla desbloqueada,,
2025/02/05,13:26:39,Litografía seleccionada,1,
2025/02/05,13:26:39,Idioma utilizado,1,
2025/02/05,13:26:42,Intento de compra de litografía,1,
2025/02/05,13:36:22,Programa iniciado correctamente,,
2025/02/05,13:36:24,Pantalla desbloqueada,,
2025/02/05,13:36:27,Litografía seleccionada,9,
2025/02/05,13:36:27,Idioma utilizado,0,
2025/02/05,13:36:33,Litografía seleccionada,0,
2025/02/05,13:36:33,Idioma utilizado,0,
2025/02/05,13:36:35,Intento de compra de litografía,0,
2025/02/05,13:39:39,Programa iniciado correctamente,,
2025/02/05,13:42:54,Programa iniciado correctamente,,
2025/02/05,13:42:57,Pantalla desbloqueada,,
2025/02/05,13:42:59,Litografía seleccionada,9,
2025/02/05,13:42:59,Idioma utilizado,0,
2025/02/05,13:43:06,Litografía seleccionada,4,
2025/02/05,13:43:06,Idioma utilizado,0,
2025/02/05,13:59:39,Programa iniciado correctamente,,
2025/02/05,13:59:41,Pantalla desbloqueada,,
2025/02/05,13:59:43,Litografía seleccionada,0,
2025/02/05,13:59:43,Idioma utilizado,1,
2025/02/05,14:00:19,Programa iniciado correctamente,,
2025/02/05,14:00:22,Pantalla desbloqueada,,
2025/02/05,14:00:24,Litografía seleccionada,2,
2025/02/05,14:00:24,Idioma utilizado,1,
2025/02/05,14:04:04,Programa iniciado correctamente,,
2025/02/05,14:04:06,Pantalla desbloqueada,,
2025/02/05,14:04:09,Litografía seleccionada,4,
2025/02/05,14:04:09,Idioma utilizado,1,
2025/02/05,14:36:37,Programa iniciado correctamente,,
2025/02/05,14:36:44,Pantalla desbloqueada,,
2025/02/05,14:37:06,Litografía seleccionada,0,
2025/02/05,14:37:06,Idioma utilizado,0,
2025/02/05,14:37:13,Intento de compra de litografía,0,
2025/02/05,14:37:22,Compra de litografía completada,0,
2025/02/05,14:37:31,Litografía seleccionada,6,
2025/02/05,14:37:31,Idioma utilizado,0,
2025/02/05,14:44:56,Programa iniciado correctamente,,
2025/02/05,14:44:59,Pantalla desbloqueada,,
2025/02/05,14:45:10,Litografía seleccionada,0,
2025/02/05,14:45:10,Idioma utilizado,0,
2025/02/05,14:45:19,Litografía seleccionada,9,
2025/02/05,14:45:19,Idioma utilizado,1,
2025/02/05,15:40:10,Programa iniciado correctamente,,
2025/02/05,15:40:12,Pantalla desbloqueada,,
2025/02/05,15:41:44,Programa iniciado correctamente,,
2025/02/05,15:41:46,Pantalla desbloqueada,,
2025/02/05,15:41:50,Litografía seleccionada,0,
